node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.5,0.5,1.0,1.0,2.0,100.0,1.0,467.64,378.23,465.33,14.88,26786.71,193.16
0.5,0.5,1.0,10.0,0.0,100.0,1.0,1599.44,386.59,1596.61,48.81,86802.22,753.56
0.5,0.5,1.0,2.0,2.0,100.0,1.0,522.92,381.31,520.58,16.5,27560.61,230.15
0.5,0.5,1.0,20.0,1.0,100.0,1.0,3191.75,394.41,3189.85,97.16,170524.77,982.59
0.5,0.5,1.0,3.0,1.0,100.0,1.0,502.73,380.64,500.22,15.88,26541.75,214.85
0.5,0.5,1.0,3.0,2.0,100.0,1.0,614.91,383.01,612.54,19.21,32098.0,305.5
0.5,0.5,1.0,5.0,0.0,100.0,1.0,578.19,381.55,575.18,18.04,31331.11,288.87
0.5,0.5,1.0,5.0,1.0,100.0,1.0,710.81,383.34,708.53,22.07,37977.74,396.99
0.5,1.0,0.0,50.0,2.0,100.0,1.0,4736.16,428.78,4734.3,143.47,204728.57,829.16
0.5,1.0,1.0,3.0,2.0,100.0,1.0,283.15,399.83,280.48,9.31,14794.95,112.24
0.5,1.0,1.0,5.0,3.0,100.0,1.0,306.8,409.66,304.44,9.97,17461.16,177.7
0.5,1.0,2.0,20.0,0.0,100.0,1.0,377.22,393.11,374.13,12.14,22188.96,144.89
0.5,1.0,2.0,20.0,1.0,100.0,1.0,379.49,393.06,377.1,12.27,22838.26,147.6
0.5,1.0,2.0,20.0,2.0,100.0,1.0,397.06,393.17,394.71,12.81,23937.81,144.65
0.5,1.5,1.0,3.0,5.0,100.0,1.0,301.21,410.69,298.52,9.76,15768.77,106.41
0.5,1.5,2.0,20.0,0.0,100.0,1.0,321.91,400.8,318.73,10.48,18875.3,123.36
0.5,2.0,0.0,5.0,7.0,100.0,1.0,319.75,452.38,316.82,10.16,14842.18,125.64
0.5,2.0,1.0,1.0,7.0,100.0,1.0,269.42,411.93,267.02,8.93,16455.42,101.9
